Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
Towards network-guided neuromodulation for epilepsy,Network-guided neuromodulation for epilepsy aims to target specific brain networks to reduce seizures and improve patient outcomes.,"R. Piper, R. Richardson, G. Worrell, D. Carmichael, T. Baldeweg, B. Litt, T. Denison, M. Tisdall",2022,168,"Epilepsy is well-recognized as a disorder of brain networks. There is a growing body of research to identify critical nodes within dynamic epileptic networks with the aim to target therapies that halt the onset and propagation of seizures. In parallel, intracranial neuromodulation, including deep brain stimulation and responsive neurostimulation, are well-established and expanding as therapies to reduce seizures in adults with focal-onset epilepsy; and there is emerging evidence for their efficacy in children and generalized-onset seizure disorders. The convergence of these advancing fields is driving an era of 'network-guided neuromodulation' for epilepsy. In this review, we distil the current literature on network mechanisms underlying neurostimulation for epilepsy. We discuss the modulation of key 'propagation points' in the epileptogenic network, focusing primarily on thalamic nuclei targeted in current clinical practice. These include (i) the anterior nucleus of thalamus, now a clinically approved and targeted site for open loop stimulation, and increasingly targeted for responsive neurostimulation; and (ii) the centromedian nucleus of the thalamus, a target for both deep brain stimulation and responsive neurostimulation in generalized-onset epilepsies. We discuss briefly the networks associated with other emerging neuromodulation targets, such as the pulvinar of the thalamus, piriform cortex, septal area, subthalamic nucleus, cerebellum and others. We report synergistic findings garnered from multiple modalities of investigation that have revealed structural and functional networks associated with these propagation points - including scalp and invasive EEG, and diffusion and functional MRI. We also report on intracranial recordings from implanted devices which provide us data on the dynamic networks we are aiming to modulate. Finally, we review the continuing evolution of network-guided neuromodulation for epilepsy to accelerate progress towards two translational goals: (i) to use pre-surgical network analyses to determine patient candidacy for neurostimulation for epilepsy by providing network biomarkers that predict efficacy; and (ii) to deliver precise, personalized and effective antiepileptic stimulation to prevent and arrest seizure propagation through mapping and modulation of each patients' individual epileptogenic networks.",literature review,Brain,,10.1093/brain/awac234,https://consensus.app/papers/towards-networkguided-neuromodulation-for-epilepsy-piper-richardson/8cc270bbdcc353148529350bdc542679/
Changing Brain Networks Through Non-invasive Neuromodulation,"Non-invasive neuromodulation techniques affect brain networks, rather than just local stimulation sites, offering therapeutic potential for neurological and psychiatric disorders.","W. To, D. De Ridder, John Hart Jr., S. Vanneste",2018,113,": Non-invasive neuromodulation techniques, such as repetitive Transcranial Magnetic Stimulation (rTMS) and transcranial Direct Current Stimulation (tDCS), have increasingly been investigated for their potential as treatments for neurological and psychiatric disorders. Despite widespread dissemination of these techniques, the underlying therapeutic mechanisms and the ideal stimulation site for a given disorder remain unknown. Increasing evidence support the possibility of non-invasive neuromodulation affecting a brain network rather than just the local stimulation target. In this article, we present evidence in a clinical setting to support the idea that non-invasive neuromodulation changes brain networks.: This article addresses the idea that non-invasive neuromodulation modulates brain networks, rather than just the local stimulation target, using neuromodulation studies in tinnitus and major depression as examples. We present studies that support this hypothesis from different perspectives.: Studies stimulating the same brain region, such as the dorsolateral prefrontal cortex (DLPFC), have shown to be effective for several disorders and studies using different stimulation sites for the same disorder have shown similar results. These findings, as well as results from studies investigating brain network connectivity on both macro and micro levels, suggest that non-invasive neuromodulation affects a brain network rather than just the local stimulation site targeted. We propose that non-invasive neuromodulation should be approached from a network perspective and emphasize the therapeutic potential of this approach through the modulation of targeted brain networks.",,Frontiers in Human Neuroscience,2,10.3389/fnhum.2018.00128,https://consensus.app/papers/changing-brain-networks-through-noninvasive-to-ridder/2a5b6e99ace859b68e952e3e7cdeed6f/
Connectomic neuromodulation for Alzheimer’s disease: A systematic review and meta-analysis of invasive and non-invasive techniques,"Deep brain stimulation (DBS) improves cognitive outcomes in Alzheimer's disease patients, with potential targets in the subgenual cingulate and anterior limb of internal capsule.","C. Cheyuo, J. Germann, Kazuaki Yamamoto, Artur Vetkas, A. Loh, C. Sarica, V. Milano, Ajmal Zemmar, Oliver E. Flouty, Irene E. Harmsen, M. Hodaie, Suneil K. Kalia, David F. Tang‐Wai, A. Lozano",2022,11,"Deep brain stimulation (DBS) and non-invasive neuromodulation are currently being investigated for treating network dysfunction in Alzheimer's Disease (AD). However, due to heterogeneity in techniques and targets, the cognitive outcome and brain network connectivity remain unknown. We performed a systematic review, meta-analysis, and normative functional connectivity to determine the cognitive outcome and brain networks of DBS and non-invasive neuromodulation in AD. PubMed, Embase, and Web of Science were searched using three concepts: dementia, brain connectome, and brain stimulation, with filters for English, human studies, and publication dates 1980-2021. Additional records from clinicaltrials.gov were added. Inclusion criteria were AD study with DBS or non-invasive neuromodulation and a cognitive outcome. Exclusion criteria were less than 3-months follow-up, severe dementia, and focused ultrasound intervention. Bias was assessed using Centre for Evidence-Based Medicine levels of evidence. We performed meta-analysis, with subgroup analysis based on type and age at neuromodulation. To determine the patterns of neuromodulation-induced brain network activation, we performed normative functional connectivity using rsfMRI of 1000 healthy subjects. Six studies, with 242 AD patients, met inclusion criteria. On fixed-effect meta-analysis, non-invasive neuromodulation favored baseline, with effect size -0.40(95% [CI], -0.73, -0.06, p = 0.02), while that of DBS was 0.11(95% [CI] -0.34, 0.56, p = 0.63), in favor of DBS. In patients ≥65 years old, DBS improved cognitive outcome, 0.95(95% [CI] 0.31, 1.58, p = 0.004), whereas in patients <65 years old baseline was favored, -0.17(95% [CI] -0.93, 0.58, p = 0.65). Functional connectivity regions were in the default mode (DMN), salience (SN), central executive (CEN) networks, and Papez circuit. The subgenual cingulate and anterior limb of internal capsule (ALIC) showed connectivity to all targets of neuromodulation. This meta-analysis provides level II evidence of a difference in response of AD patients to DBS, based on age at intervention. Brain stimulation in AD may modulate DMN, SN, CEN, and Papez circuit, with the subgenual cingulate and ALIC as potential targets.",meta-analysis,Translational Psychiatry,1,10.1038/s41398-022-02246-9,https://consensus.app/papers/connectomic-neuromodulation-for-alzheimer-%E2%80%99-s-disease-a-cheyuo-germann/0d76c717622d5776b7aa47826a273320/
Opportunities of connectomic neuromodulation,"Combining neuromodulation and brain connectomics can enhance our understanding of its clinical and behavioral effects, potentially benefiting patients with brain disorders.","A. Horn, M. Fox",2020,148,,literature review,NeuroImage,1,10.1016/j.neuroimage.2020.117180,https://consensus.app/papers/opportunities-of-connectomic-neuromodulation-horn-fox/f2ba3e9768e158d6ba20dd6e3d16b010/
NeuroDots: From Single-Target to Brain-Network Modulation: Why and What Is Needed?,"Next-generation brain implants should target multiple interacting networks, rather than just a single brain target, to improve treatment success for neurologic and psychiatric disorders.","D. De Ridder, Muhammad Ali Siddiqi, Justin Dauwels, W. Serdijn, Christos Strydis",2024,7,,literature review,Neuromodulation : journal of the International Neuromodulation Society,1,10.1016/j.neurom.2024.01.003,https://consensus.app/papers/neurodots-from-singletarget-to-brainnetwork-modulation-ridder-siddiqi/9a656188a4275093ad771a69a38edced/
Stimulation-Based Control of Dynamic Brain Networks,"Targeted brain stimulation can have a global impact on brain networks, potentially enhancing medical treatment or performance enhancement.","S. Muldoon, F. Pasqualetti, Shi Gu, M. Cieslak, Scott T. Grafton, J. Vettel, D. Bassett",2016,286,"The ability to modulate brain states using targeted stimulation is increasingly being employed to treat neurological disorders and to enhance human performance. Despite the growing interest in brain stimulation as a form of neuromodulation, much remains unknown about the network-level impact of these focal perturbations. To study the system wide impact of regional stimulation, we employ a data-driven computational model of nonlinear brain dynamics to systematically explore the effects of targeted stimulation. Validating predictions from network control theory, we uncover the relationship between regional controllability and the focal versus global impact of stimulation, and we relate these findings to differences in the underlying network architecture. Finally, by mapping brain regions to cognitive systems, we observe that the default mode system imparts large global change despite being highly constrained by structural connectivity. This work forms an important step towards the development of personalized stimulation protocols for medical treatment or performance enhancement.",,PLoS Computational Biology,1,10.1371/journal.pcbi.1005076,https://consensus.app/papers/stimulationbased-control-of-dynamic-brain-networks-muldoon-pasqualetti/92a6f763934c5a9db528c784454c73e1/
Identifying the neural network for neuromodulation in epilepsy through connectomics and graphs,"Deep brain stimulation targets for epilepsy share a common cortico-subcortical network, which may underpin the antiseizure effects of stimulation and could potentially serve as biomarkers for patient selection and neuromodulation targets.","Artur Vetkas, J. Germann, G. Elias, A. Loh, A. Boutet, Kazuaki Yamamoto, C. Sarica, N. Samuel, V. Milano, A. Fomenko, B. Santyr, Jordy Tasserie, Dave Gwun, H. Jung, T. Valiante, G. Ibrahim, R. Wennberg, Suneil K. Kalia, A. Lozano",2022,25,"Deep brain stimulation is a treatment option for patients with drug-resistant epilepsy. The precise mechanism of neuromodulation in epilepsy is unknown, and biomarkers are needed for optimizing treatment. The aim of this study was to describe the neural network associated with deep brain stimulation targets for epilepsy and to explore its potential application as a novel biomarker for neuromodulation. Using seed-to-voxel functional connectivity maps, weighted by seizure outcomes, brain areas associated with stimulation were identified in normative resting state functional scans of 1000 individuals. To pinpoint specific regions in the normative epilepsy deep brain stimulation network, we examined overlapping areas of functional connectivity between the anterior thalamic nucleus, centromedian thalamic nucleus, hippocampus and less studied epilepsy deep brain stimulation targets. Graph network analysis was used to describe the relationship between regions in the identified network. Furthermore, we examined the associations of the epilepsy deep brain stimulation network with disease pathophysiology, canonical resting state networks and findings from a systematic review of resting state functional MRI studies in epilepsy deep brain stimulation patients. Cortical nodes identified in the normative epilepsy deep brain stimulation network were in the anterior and posterior cingulate, medial frontal and sensorimotor cortices, frontal operculum and bilateral insulae. Subcortical nodes of the network were in the basal ganglia, mesencephalon, basal forebrain and cerebellum. Anterior thalamic nucleus was identified as a central hub in the network with the highest betweenness and closeness values, while centromedian thalamic nucleus and hippocampus showed average centrality values. The caudate nucleus and mammillothalamic tract also displayed high centrality values. The anterior cingulate cortex was identified as an important cortical hub associated with the effect of deep brain stimulation in epilepsy. The neural network of deep brain stimulation targets shared hubs with known epileptic networks and brain regions involved in seizure propagation and generalization. Two cortical clusters identified in the epilepsy deep brain stimulation network included regions corresponding to resting state networks, mainly the default mode and salience networks. Our results were concordant with findings from a systematic review of resting state functional MRI studies in patients with deep brain stimulation for epilepsy. Our findings suggest that the various epilepsy deep brain stimulation targets share a common cortico-subcortical network, which might in part underpin the antiseizure effects of stimulation. Interindividual differences in this network functional connectivity could potentially be used as biomarkers in selection of patients, stimulation parameters and neuromodulation targets.",non-rct observational study,Brain Communications,1,10.1093/braincomms/fcac092,https://consensus.app/papers/identifying-the-neural-network-for-neuromodulation-in-vetkas-germann/5572435aa935514ca8e8157204095cc8/
Neuromodulation of Attention,"Neuromodulation influences attentional control, enabling appropriate allocation of attention to relevant external or internal events, and guiding the development of next-generation pharmacotherapies for attention disorders.","A. Thiele, M. Bellgrove",2018,289,,,Neuron,1,10.1016/j.neuron.2018.01.008,https://consensus.app/papers/neuromodulation-of-attention-thiele-bellgrove/5f8c9dc5a34457f8a9c7aa8d6b78e320/
Neuromodulation in Small Animal fMRI,"Combining fMRI with neuromodulation techniques in small animal models reveals crucial insights into mesoscopic and macroscopic brain dynamics, advancing our understanding of brain function in health and disease.","Li-Ming Hsu, Y. Shih",2024,3,"The integration of functional magnetic resonance imaging (fMRI) with advanced neuroscience technologies in experimental small animal models offers a unique path to interrogate the causal relationships between regional brain activity and brain-wide network measures-a goal challenging to accomplish in human subjects. This review traces the historical development of the neuromodulation techniques commonly used in rodents, such as electrical deep brain stimulation, optogenetics, and chemogenetics, and focuses on their application with fMRI. We discuss their advantageousness roles in uncovering the signaling architecture within the brain and the methodological considerations necessary when conducting these experiments. By presenting several rodent-based case studies, we aim to demonstrate the potential of the multimodal neuromodulation approach in shedding light on neurovascular coupling, the neural basis of brain network functions, and their connections to behaviors. Key findings highlight the cell-type and circuit-specific modulation of brain-wide activity patterns and their behavioral correlates. We also discuss several future directions and feature the use of mediation and moderation analytical models beyond the intuitive evoked response mapping, to better leverage the rich information available in fMRI data with neuromodulation. Using fMRI alongside neuromodulation techniques provide insights into the mesoscopic (relating to the intermediate scale between single neurons and large-scale brain networks) and macroscopic fMRI measures that correlate with specific neuronal events. This integration bridges the gap between different scales of neuroscience research, facilitating the exploration and testing of novel therapeutic strategies aimed at altering network-mediated behaviors. In conclusion, the combination of fMRI with neuromodulation techniques provides crucial insights into mesoscopic and macroscopic brain dynamics, advancing our understanding of brain function in health and disease. EVIDENCE LEVEL: 1 TECHNICAL EFFICACY: Stage 1.",literature review,Journal of Magnetic Resonance Imaging,1,10.1002/jmri.29575,https://consensus.app/papers/neuromodulation-in-small-animal-fmri-hsu-shih/d8b88bf533a95aaf8f784333dce7d7c7/
What can neuroimaging of neuromodulation reveal about the basis of circuit therapies for psychiatry?,"Neuroimaging studies combined with neuromodulation therapies reveal the mechanisms of action and potential basis of psychiatric disorders, aiding in refining targeted therapies.","S. Fujimoto, Atsushi Fujimoto, Catherine Elorette, K. S. Choi, Helen S. Mayberg, Brian E. Russ, P. Rudebeck",2024,5,"Neuromodulation is increasingly becoming a therapeutic option for treatment resistant psychiatric disorders. These non-invasive and invasive therapies are still being refined but are clinically effective and, in some cases, provide sustained symptom reduction. Neuromodulation relies on changing activity within a specific brain region or circuit, but the precise mechanisms of action of these therapies, is unclear. Here we review work in both humans and animals that has provided insight into how therapies such as deep brain and transcranial magnetic stimulation alter neural activity across the brain. We focus on studies that have combined neuromodulation with neuroimaging such as PET and MRI as these measures provide detailed information about the distributed networks that are modulated and thus insight into both the mechanisms of action of neuromodulation but also potentially the basis of psychiatric disorders. Further we highlight work in nonhuman primates that has revealed how neuromodulation changes neural activity at different scales from single neuron activity to functional connectivity, providing key insight into how neuromodulation influences the brain. Ultimately, these studies highlight the value of combining neuromodulation with neuroimaging to reveal the mechanisms through which these treatments influence the brain, knowledge vital for refining targeted neuromodulation therapies for psychiatric disorders.",literature review,Neuropsychopharmacology,1,10.1038/s41386-024-01976-2,https://consensus.app/papers/what-can-neuroimaging-of-neuromodulation-reveal-about-the-fujimoto-fujimoto/a2ecb384e1195ecf95d05bf5bb299560/
